ID,Type,ITGB2,HBQ1,RPL36AP37,HBM,CD37,HBA1,BBLN,LYL1,PSAP,HBA2,HBD,AHSP,FKBP8,GPX1,GUK1,CDC34,SLC25A39,HBB,SELENBP1,ACTB,LILRA2,NCF2,SELL,UQCR11,LGALS3,ICAM3,RPS27,ND1
1094,1,10276.724702675567,926.5165563823356,1453.7000010384913,621.2584445694115,4805.3535020873205,5310663.529035984,829.8365678902658,3418.7118152890234,20757.551603278836,9125315.740410581,4118.424280149593,2361.498237426668,200143.68950999982,15318.899417314527,25883.381363515797,4886.8153442426765,93470.74998518026,19596829.887411248,8057.560892751113,51490.284815496634,3985.372921912775,12073.361155486531,21740.46481961488,1129.213313736589,5459.733794566053,10392.203577818873,33897.973372492655,31627.739253832344
1095,1,46610.50596957469,240.7196832196533,3169.0399104016556,462.9224677301025,13771.943414970548,2957972.540683467,1967.4204878529356,3371.2328712444714,96449.89615156685,6774894.803828592,969.0240286377302,311.3153595484939,147665.32336888675,15272.587605549528,10357.890215461042,3773.9754181696603,46451.95502437713,8547962.536201991,1779.936888422244,257051.96979220715,15364.477715393954,49563.95131369275,77036.08516113568,2042.7379733526232,6046.924734724464,44788.90605905674,77618.18701818289,55386.34707850641
1096,1,17704.586488392255,457.4934504841964,2156.733080488763,783.7723902021188,8469.779514149803,2991601.6723238416,1018.0840165704651,4588.993202424064,43862.550677088526,5723138.931612748,3509.3379482346572,1916.6691036930736,129937.5124025665,19913.401185632043,12211.736187252294,3279.776990090929,70543.02979258621,10588619.782857973,3854.4262537592986,106875.390577262,6674.700571169922,26513.532081710237,63248.32308467367,1034.280807743177,4965.063362745261,12944.545798719297,38395.1993386881,27964.31937869513
1097,1,19074.573678567875,424.84772899151744,927.1121552659336,493.8400952380032,6949.346869606548,2075677.8015113599,1844.6380028007768,3408.2228925763957,43118.776433185245,4230840.321065617,7212.287670903417,2041.4478054618044,108113.21661454567,21986.777769603745,10584.155217645086,3043.6527046212814,32004.541972136893,10611796.101387449,4277.526707282116,122424.41208036934,6274.746774802753,14836.26368473113,35112.030771422025,2182.6279738651397,5988.537390194962,18092.703371565254,80327.49247719231,19407.066047395543
1098,1,23647.41732978664,425.0159879542282,2186.6408492763862,745.2537288780737,8368.240137827956,2923107.557072251,2019.563817761671,4653.777493102982,55940.515789538025,5788722.589017701,2117.428176238007,878.8091000928573,125323.63794808669,18215.919608725748,12920.190883816902,3297.563281540705,58337.87159659235,8631801.236746876,2233.5475616969597,138497.43646221588,11454.09233036896,26737.637742203842,52383.220515358626,2012.5466267105517,4538.668996365378,25264.1014089667,51728.36385016852,50575.0947728544
1099,1,31079.826829383666,484.0409105524853,1568.3893583721626,575.5686463660461,13040.062130283954,2512806.947404852,2854.0812234940176,3450.7716550478085,57290.202098609334,5494584.147608419,720.5785024237425,453.23830715369076,91100.01966350903,19796.842005149065,13597.149214610723,3844.164904169556,37752.550799945384,5879439.205492566,1818.2336749116992,137071.82274471896,11461.437506839562,38032.414453683,82830.84076250692,3111.978220636382,6333.015258792153,34038.63690443359,62659.35989333407,36309.2112106285
1100,1,14741.984694689208,654.122574784895,2729.6292778153374,1117.734702704829,7239.396980868519,5990288.024939777,1943.647044604949,3593.2692954934555,24412.86761011168,5773645.072871552,1431.669489943344,803.8880127827834,120616.23841109352,20663.533918492776,8157.8115050614515,2562.5306928021055,55353.74637060191,11601827.34011168,3331.1797789971506,49398.36777727411,7618.215441686707,18361.683185123467,24183.81458729138,2117.4079891761758,6546.731830128285,18737.197996574054,50193.985654473334,43427.93555499461
1101,1,11111.619687818096,1901.909294753499,1398.9804907541215,1062.6898088183118,6684.817284518215,5720079.365435573,1377.7990410851637,4480.660358814878,12403.406770095726,9944074.524757206,2832.09245600327,1550.626808782544,151591.65622282517,16461.732334163968,23101.847515604735,6587.551424558294,71438.96066527396,16620630.85901901,3394.6588976094786,35414.41922639905,6897.837556331266,19700.75781733675,22706.353275106543,2481.678128121214,4332.751943669214,18067.334450075927,28863.84490562717,71441.57317804148
1102,1,10662.568789285287,1707.3271471271144,5762.987730511247,3530.7306045781816,8284.375407687454,4078423.4951536036,4142.187703843727,5706.018939782964,15854.927206217373,186227.4580419803,3030.0304130689865,1401.1416041466093,211880.39574250946,19800.699169205844,16078.853946606101,3678.7964492433807,60898.933518779246,9953283.873539822,2459.538197494146,23204.29422444496,2934.811279135527,9644.387610538175,15924.390195072652,4411.265386988385,3723.5817973211265,23155.852929585355,271600.9901938954,47882.42855479375
1103,1,11761.631815215262,720.9984875026669,2011.4536888064858,1978.067606171439,5849.444217693393,4638497.130102735,1569.6852567615313,4977.641466392458,16979.2391904254,8541864.873811992,3405.622596205727,1340.7269584400738,140315.11175641595,21818.79018314273,16337.495498495546,3719.4715866740635,65043.97042218716,10072382.02533507,3690.8517993838814,33825.28629384649,6172.000228064242,12684.069574798827,13146.38921564023,1841.5732360182622,5392.6283821001,20112.00513765073,54138.98387861953,49813.642402622805
